id;laundry_machine_id;name;subprogram;time;spin;pre_wash;protect
374;2;Koch-/Buntwäsche;40°;48;700;false;null
375;2;Koch-/Buntwäsche;40°;48;600;false;null
376;2;Koch-/Buntwäsche;40°;48;500;false;null
377;2;Koch-/Buntwäsche;40°;48;400;false;null
378;2;Koch-/Buntwäsche;40°;33;0;false;null
379;2;Koch-/Buntwäsche;40°;58;1400;true;null
380;2;Koch-/Buntwäsche;40°;58;1300;true;null
381;2;Koch-/Buntwäsche;40°;58;1200;true;null
382;2;Koch-/Buntwäsche;40°;58;1100;true;null
383;2;Koch-/Buntwäsche;40°;58;1000;true;null
384;2;Koch-/Buntwäsche;40°;58;900;true;null
385;2;Koch-/Buntwäsche;40°;58;800;true;null
386;2;Koch-/Buntwäsche;40°;58;700;true;null
387;2;Koch-/Buntwäsche;40°;58;600;true;null
388;2;Koch-/Buntwäsche;40°;58;500;true;null
389;2;Koch-/Buntwäsche;40°;58;400;true;null
390;2;Koch-/Buntwäsche;40°;42;0;true;null
391;2;Koch-/Buntwäsche;30°;48;1400;false;null
392;2;Koch-/Buntwäsche;30°;48;1300;false;null
393;2;Koch-/Buntwäsche;30°;48;1200;false;null
394;2;Koch-/Buntwäsche;30°;48;1100;false;null
395;2;Koch-/Buntwäsche;30°;48;1000;false;null
396;2;Koch-/Buntwäsche;30°;48;900;false;null
397;2;Koch-/Buntwäsche;30°;48;800;false;null
398;2;Koch-/Buntwäsche;30°;48;700;false;null
399;2;Koch-/Buntwäsche;30°;48;600;false;null
400;2;Koch-/Buntwäsche;30°;48;500;false;null
401;2;Koch-/Buntwäsche;30°;48;400;false;null
402;2;Koch-/Buntwäsche;30°;33;0;false;null
403;2;Koch-/Buntwäsche;30°;58;1400;true;null
404;2;Koch-/Buntwäsche;30°;58;1300;true;null
405;2;Koch-/Buntwäsche;30°;58;1200;true;null
406;2;Koch-/Buntwäsche;30°;58;1100;true;null
407;2;Koch-/Buntwäsche;30°;58;1000;true;null
408;2;Koch-/Buntwäsche;30°;58;900;true;null
409;2;Koch-/Buntwäsche;30°;58;800;true;null
410;2;Koch-/Buntwäsche;30°;58;700;true;null
411;2;Koch-/Buntwäsche;30°;58;600;true;null
412;2;Koch-/Buntwäsche;30°;58;500;true;null
413;2;Koch-/Buntwäsche;30°;58;400;true;null
414;2;Koch-/Buntwäsche;30°;42;0;true;null
415;2;Pflegeleicht;60°;55;1000;false;null
416;2;Pflegeleicht;60°;55;900;false;null
417;2;Pflegeleicht;60°;55;800;false;null
418;2;Pflegeleicht;60°;55;700;false;null
419;2;Pflegeleicht;60°;55;600;false;null
420;2;Pflegeleicht;60°;55;500;false;null
421;2;Pflegeleicht;60°;55;400;false;null
422;2;Pflegeleicht;60°;45;0;false;null
423;2;Pflegeleicht;60°;64;1000;true;null
424;2;Pflegeleicht;60°;64;900;true;null
425;2;Pflegeleicht;60°;64;800;true;null
426;2;Pflegeleicht;60°;64;700;true;null
427;2;Pflegeleicht;60°;64;600;true;null
428;2;Pflegeleicht;60°;64;500;true;null
429;2;Pflegeleicht;60°;64;400;true;null
430;2;Pflegeleicht;60°;53;0;true;null
431;2;Pflegeleicht;40°;40;1000;false;null
432;2;Pflegeleicht;40°;40;900;false;null
433;2;Pflegeleicht;40°;40;800;false;null
434;2;Pflegeleicht;40°;40;700;false;null
435;2;Pflegeleicht;40°;40;600;false;null
436;2;Pflegeleicht;40°;40;500;false;null
437;2;Pflegeleicht;40°;40;400;false;null
438;2;Pflegeleicht;40°;30;0;false;null
439;2;Pflegeleicht;40°;49;1000;true;null
440;2;Pflegeleicht;40°;49;900;true;null
441;2;Pflegeleicht;40°;49;800;true;null
442;2;Pflegeleicht;40°;49;700;true;null
